;tmsp;country;amount;success;PSP;3D_secured;card
56;2019-01-01 01:03:31;Switzerland;193;0;UK_Card;0;Visa
57;2019-01-01 01:04:58;Germany;36;1;Simplecard;1;Master
58;2019-01-01 01:06:03;Switzerland;146;0;Simplecard;0;Diners
59;2019-01-01 01:08:40;Germany;192;0;UK_Card;0;Master
60;2019-01-01 01:08:43;Germany;192;1;UK_Card;0;Master
61;2019-01-01 01:11:02;Germany;14;0;Moneycard;0;Master
62;2019-01-01 01:11:31;Germany;14;0;UK_Card;0;Master
63;2019-01-01 01:12:36;Germany;175;0;Moneycard;0;Visa
64;2019-01-01 01:13:02;Germany;175;0;Simplecard;0;Visa
65;2019-01-01 01:13:05;Germany;175;1;Simplecard;0;Visa
66;2019-01-01 01:14:10;Germany;270;0;Simplecard;0;Master
67;2019-01-01 01:14:59;Germany;270;0;UK_Card;0;Master
68;2019-01-01 01:17:19;Austria;256;0;UK_Card;0;Master
69;2019-01-01 01:17:30;Austria;256;0;UK_Card;0;Master
70;2019-01-01 01:18:30;Austria;256;0;UK_Card;0;Master
71;2019-01-01 01:18:37;Austria;256;1;Moneycard;0;Master
72;2019-01-01 01:19:43;Germany;310;0;Goldcard;0;Visa
73;2019-01-01 01:20:37;Germany;310;0;Simplecard;0;Visa
74;2019-01-01 01:20:51;Germany;310;0;UK_Card;0;Visa
75;2019-01-01 01:21:40;Germany;310;0;UK_Card;0;Visa
76;2019-01-01 01:21:43;Germany;310;0;Simplecard;0;Visa
77;2019-01-01 01:21:47;Germany;310;0;UK_Card;0;Visa
78;2019-01-01 01:22:11;Germany;310;1;UK_Card;0;Visa
79;2019-01-01 01:23:24;Austria;239;0;Simplecard;0;Master
80;2019-01-01 01:26:31;Germany;37;0;UK_Card;0;Master
81;2019-01-01 01:26:51;Germany;37;0;Simplecard;0;Master
82;2019-01-01 01:27:10;Germany;37;0;Moneycard;0;Master
83;2019-01-01 01:28:02;Germany;37;0;UK_Card;0;Master
84;2019-01-01 01:28:02;Germany;37;0;UK_Card;0;Master
85;2019-01-01 01:28:53;Germany;37;0;Simplecard;0;Master
86;2019-01-01 01:35:33;Germany;56;0;Simplecard;1;Visa
87;2019-01-01 01:35:55;Germany;56;0;UK_Card;1;Visa
88;2019-01-01 01:35:56;Germany;56;0;Moneycard;1;Visa
89;2019-01-01 01:36:57;Germany;192;0;Goldcard;1;Diners
90;2019-01-01 01:37:01;Germany;192;0;Simplecard;1;Diners
91;2019-01-01 01:38:15;Germany;324;0;UK_Card;0;Visa
92;2019-01-01 01:38:22;Germany;324;0;UK_Card;0;Visa
93;2019-01-01 01:38:37;Germany;324;0;UK_Card;0;Visa
94;2019-01-01 01:38:55;Germany;324;1;Simplecard;0;Visa
95;2019-01-01 01:40:49;Germany;105;0;UK_Card;0;Master
96;2019-01-01 01:41:08;Germany;105;0;Simplecard;0;Master
97;2019-01-01 01:42:01;Germany;105;0;UK_Card;0;Master
98;2019-01-01 01:42:20;Germany;105;0;Moneycard;0;Master
99;2019-01-01 01:43:15;Germany;105;0;Goldcard;0;Master
100;2019-01-01 01:44:16;Germany;228;0;UK_Card;0;Diners
101;2019-01-01 01:44:25;Germany;228;0;UK_Card;0;Diners
102;2019-01-01 01:45:17;Germany;228;1;UK_Card;0;Diners
103;2019-01-01 01:46:23;Germany;322;0;UK_Card;0;Master
104;2019-01-01 01:47:23;Germany;322;0;Moneycard;0;Master
105;2019-01-01 01:54:24;Austria;367;0;Moneycard;0;Visa
106;2019-01-01 01:55:08;Austria;367;0;UK_Card;0;Visa
107;2019-01-01 01:55:17;Austria;367;1;UK_Card;0;Visa
108;2019-01-01 01:57:28;Switzerland;190;0;UK_Card;0;Diners
109;2019-01-01 01:57:29;Switzerland;190;0;Simplecard;0;Diners
110;2019-01-01 01:58:00;Switzerland;190;0;UK_Card;0;Diners
111;2019-01-01 01:58:54;Switzerland;190;0;UK_Card;0;Diners
112;2019-01-01 01:59:14;Switzerland;190;0;UK_Card;0;Diners
113;2019-01-01 02:01:48;Germany;186;0;UK_Card;0;Master
114;2019-01-01 02:02:01;Germany;186;1;UK_Card;0;Master
115;2019-01-01 02:03:39;Germany;121;0;Moneycard;1;Master
116;2019-01-01 02:03:52;Germany;121;0;UK_Card;1;Master
117;2019-01-01 02:04:19;Germany;121;1;UK_Card;1;Master
118;2019-01-01 02:06:48;Germany;274;1;UK_Card;0;Master
119;2019-01-01 02:08:53;Germany;264;0;Simplecard;1;Master
120;2019-01-01 02:10:05;Germany;132;0;UK_Card;0;Master
121;2019-01-01 02:10:07;Germany;132;0;Simplecard;0;Master
122;2019-01-01 02:10:33;Germany;132;0;Moneycard;0;Master
123;2019-01-01 02:10:49;Germany;132;0;Simplecard;0;Master
124;2019-01-01 02:11:16;Germany;132;0;Moneycard;0;Master
125;2019-01-01 02:13:13;Germany;228;0;Simplecard;0;Diners
126;2019-01-01 02:14:18;Switzerland;279;0;UK_Card;1;Master
127;2019-01-01 02:14:51;Switzerland;279;0;Simplecard;1;Master
128;2019-01-01 02:14:59;Switzerland;279;0;UK_Card;1;Master
129;2019-01-01 02:15:16;Switzerland;279;1;UK_Card;1;Master
130;2019-01-01 02:16:34;Austria;104;1;Moneycard;0;Master
131;2019-01-01 02:18:06;Switzerland;184;0;Simplecard;0;Master
132;2019-01-01 02:20:08;Austria;258;0;UK_Card;0;Diners
133;2019-01-01 02:24:07;Austria;209;1;UK_Card;0;Master
134;2019-01-01 02:25:56;Germany;260;0;UK_Card;0;Master
135;2019-01-01 02:25:58;Germany;260;0;UK_Card;0;Master
136;2019-01-01 02:26:36;Germany;260;0;UK_Card;0;Master
137;2019-01-01 02:26:40;Germany;260;0;Moneycard;0;Master
138;2019-01-01 02:28:50;Switzerland;383;0;UK_Card;0;Master
139;2019-01-01 02:30:02;Germany;109;0;Moneycard;0;Master
140;2019-01-01 02:31:15;Austria;161;0;Simplecard;0;Master
141;2019-01-01 02:33:00;Germany;127;0;Simplecard;0;Master
142;2019-01-01 02:33:24;Germany;127;0;Moneycard;0;Master
143;2019-01-01 02:33:39;Germany;127;0;Moneycard;0;Master
144;2019-01-01 02:36:48;Germany;233;1;Simplecard;1;Visa
145;2019-01-01 02:38:38;Germany;129;0;UK_Card;1;Master
146;2019-01-01 02:39:30;Germany;129;0;Goldcard;1;Master
147;2019-01-01 02:39:31;Germany;129;0;UK_Card;1;Master
148;2019-01-01 02:40:04;Germany;129;1;UK_Card;1;Master
149;2019-01-01 02:43:05;Germany;243;0;Simplecard;0;Master
150;2019-01-01 02:43:06;Germany;243;0;Moneycard;0;Master
151;2019-01-01 02:43:11;Germany;243;1;UK_Card;0;Master
152;2019-01-01 02:47:14;Switzerland;131;0;UK_Card;0;Master
153;2019-01-01 02:47:19;Switzerland;131;1;UK_Card;0;Master
154;2019-01-01 02:48:32;Germany;225;0;UK_Card;0;Master
155;2019-01-01 02:49:50;Switzerland;246;0;Simplecard;0;Diners
156;2019-01-01 02:55:25;Germany;126;1;UK_Card;1;Diners
157;2019-01-01 02:56:37;Germany;82;0;UK_Card;1;Master
158;2019-01-01 02:57:03;Germany;82;0;UK_Card;1;Master
159;2019-01-01 02:57:45;Germany;82;0;UK_Card;1;Master
160;2019-01-01 02:58:13;Germany;82;0;UK_Card;1;Master
161;2019-01-01 02:58:32;Germany;82;1;Moneycard;1;Master
162;2019-01-01 02:59:36;Austria;329;0;UK_Card;0;Master
163;2019-01-01 02:59:57;Austria;329;0;Moneycard;0;Master
164;2019-01-01 03:00:27;Austria;329;1;UK_Card;0;Master
165;2019-01-01 03:02:33;Germany;335;1;UK_Card;0;Master
166;2019-01-01 03:09:31;Germany;173;0;UK_Card;1;Master
167;2019-01-01 03:10:10;Germany;173;1;UK_Card;1;Master
168;2019-01-01 03:13:08;Germany;222;0;UK_Card;0;Master
169;2019-01-01 03:13:20;Germany;222;1;UK_Card;0;Master
170;2019-01-01 03:17:18;Switzerland;181;0;Simplecard;1;Master
171;2019-01-01 03:18:01;Switzerland;181;0;Simplecard;1;Master
172;2019-01-01 03:18:15;Switzerland;181;0;UK_Card;1;Master
173;2019-01-01 03:19:14;Switzerland;181;1;Simplecard;1;Master
174;2019-01-01 03:22:08;Germany;85;0;Goldcard;1;Diners
175;2019-01-01 03:22:11;Germany;85;0;UK_Card;1;Diners
176;2019-01-01 03:22:19;Germany;85;0;UK_Card;1;Diners
177;2019-01-01 03:23:13;Germany;85;0;Simplecard;1;Diners
178;2019-01-01 03:24:09;Germany;85;1;UK_Card;1;Diners
179;2019-01-01 03:29:48;Germany;62;0;Moneycard;0;Master
180;2019-01-01 03:29:55;Germany;62;0;UK_Card;0;Master
181;2019-01-01 03:30:54;Germany;62;0;UK_Card;0;Master
182;2019-01-01 03:31:51;Germany;62;0;UK_Card;0;Master
183;2019-01-01 03:31:52;Germany;62;0;UK_Card;0;Master
184;2019-01-01 03:32:31;Germany;62;0;UK_Card;0;Master
185;2019-01-01 03:32:58;Germany;62;0;Goldcard;0;Master
186;2019-01-01 03:35:19;Austria;291;0;UK_Card;0;Master
187;2019-01-01 03:35:29;Austria;291;1;UK_Card;0;Master
188;2019-01-01 03:38:02;Germany;107;1;UK_Card;1;Master
189;2019-01-01 03:42:38;Switzerland;78;0;Moneycard;0;Diners
190;2019-01-01 03:45:09;Germany;22;0;UK_Card;1;Master
191;2019-01-01 03:45:52;Germany;22;0;UK_Card;1;Master
192;2019-01-01 03:46:26;Germany;22;0;UK_Card;1;Master
193;2019-01-01 03:49:09;Switzerland;164;1;Moneycard;0;Master
194;2019-01-01 03:50:52;Switzerland;203;0;Simplecard;0;Master
195;2019-01-01 03:51:37;Switzerland;203;0;Simplecard;0;Master
196;2019-01-01 03:52:59;Germany;277;0;UK_Card;0;Diners
197;2019-01-01 03:53:27;Germany;277;0;Simplecard;0;Diners
198;2019-01-01 03:53:51;Germany;277;0;Simplecard;0;Diners
199;2019-01-01 03:56:43;Germany;105;1;Simplecard;0;Master
200;2019-01-01 03:59:51;Germany;239;0;UK_Card;1;Visa
201;2019-01-01 04:00:03;Germany;239;1;UK_Card;1;Visa
202;2019-01-01 04:01:23;Austria;113;0;Moneycard;1;Visa
203;2019-01-01 04:02:01;Austria;113;1;UK_Card;1;Visa
204;2019-01-01 04:03:26;Austria;379;1;UK_Card;0;Master
205;2019-01-01 04:04:46;Austria;175;0;UK_Card;1;Master
206;2019-01-01 04:06:29;Switzerland;84;0;Moneycard;1;Master
207;2019-01-01 04:10:35;Switzerland;268;0;Simplecard;1;Diners
208;2019-01-01 04:11:16;Switzerland;268;0;UK_Card;1;Diners
209;2019-01-01 04:11:24;Switzerland;268;1;Simplecard;1;Diners
210;2019-01-01 04:12:37;Germany;129;0;Simplecard;0;Master
211;2019-01-01 04:13:18;Germany;129;0;Simplecard;0;Master
212;2019-01-01 04:13:25;Germany;129;0;Simplecard;0;Master
213;2019-01-01 04:13:43;Germany;129;1;UK_Card;0;Master
214;2019-01-01 04:16:02;Austria;224;0;Goldcard;0;Master
215;2019-01-01 04:16:10;Austria;224;0;UK_Card;0;Master
216;2019-01-01 04:17:04;Austria;224;0;Simplecard;0;Master
217;2019-01-01 04:17:21;Austria;224;0;UK_Card;0;Master
218;2019-01-01 04:18:01;Austria;224;0;UK_Card;0;Master
219;2019-01-01 04:18:19;Austria;224;1;UK_Card;0;Master
220;2019-01-01 04:20:19;Germany;242;1;UK_Card;0;Master
221;2019-01-01 04:22:20;Germany;45;0;Simplecard;0;Master
222;2019-01-01 04:22:37;Germany;45;1;UK_Card;0;Master
223;2019-01-01 04:23:49;Germany;322;0;UK_Card;0;Visa
224;2019-01-01 04:24:42;Germany;322;0;UK_Card;0;Visa
225;2019-01-01 04:25:07;Germany;322;0;Moneycard;0;Visa
226;2019-01-01 04:25:15;Germany;322;1;UK_Card;0;Visa
227;2019-01-01 04:26:17;Austria;164;0;UK_Card;1;Master
228;2019-01-01 04:26:34;Austria;164;0;UK_Card;1;Master
229;2019-01-01 04:26:39;Austria;164;0;UK_Card;1;Master
230;2019-01-01 04:27:10;Austria;164;0;Simplecard;1;Master
231;2019-01-01 04:27:57;Austria;164;0;Simplecard;1;Master
232;2019-01-01 04:28:40;Austria;164;0;Simplecard;1;Master
233;2019-01-01 04:29:29;Austria;164;0;Simplecard;1;Master
234;2019-01-01 04:31:35;Germany;158;0;Moneycard;0;Master
235;2019-01-01 04:34:29;Germany;140;0;Moneycard;0;Master
236;2019-01-01 04:35:48;Switzerland;13;0;Moneycard;0;Diners
237;2019-01-01 04:35:56;Switzerland;13;0;UK_Card;0;Diners
238;2019-01-01 04:37:24;Germany;85;0;UK_Card;0;Master
239;2019-01-01 04:37:29;Germany;85;0;UK_Card;0;Master
240;2019-01-01 04:38:05;Germany;85;0;Simplecard;0;Master
241;2019-01-01 04:38:53;Germany;85;1;Simplecard;0;Master
242;2019-01-01 04:40:02;Germany;197;0;Goldcard;0;Master
243;2019-01-01 04:41:39;Switzerland;215;0;Moneycard;0;Master
244;2019-01-01 04:44:28;Germany;151;0;UK_Card;0;Master
245;2019-01-01 04:44:40;Germany;151;0;Simplecard;0;Master
246;2019-01-01 04:45:10;Germany;151;0;Simplecard;0;Master
247;2019-01-01 04:45:22;Germany;151;0;Moneycard;0;Master
248;2019-01-01 04:46:10;Germany;151;0;UK_Card;0;Master
249;2019-01-01 04:47:04;Germany;151;1;Simplecard;0;Master
250;2019-01-01 04:49:47;Germany;208;0;UK_Card;0;Visa
251;2019-01-01 04:49:52;Germany;208;0;Moneycard;0;Visa
252;2019-01-01 04:49:57;Germany;208;0;Goldcard;0;Visa
253;2019-01-01 04:50:31;Germany;208;0;UK_Card;0;Visa
254;2019-01-01 04:50:57;Germany;208;0;Goldcard;0;Visa
255;2019-01-01 04:52:15;Austria;221;0;Simplecard;0;Master
256;2019-01-01 04:52:22;Austria;221;0;UK_Card;0;Master
257;2019-01-01 04:53:10;Austria;221;0;Simplecard;0;Master
258;2019-01-01 04:53:27;Austria;221;1;Goldcard;0;Master
259;2019-01-01 04:54:39;Germany;257;0;Goldcard;0;Master
260;2019-01-01 04:56:48;Germany;116;0;Moneycard;0;Visa
261;2019-01-01 04:59:25;Germany;209;0;UK_Card;1;Master
262;2019-01-01 05:01:33;Austria;263;0;Moneycard;1;Visa
263;2019-01-01 05:02:30;Austria;263;0;UK_Card;1;Visa
264;2019-01-01 05:02:31;Austria;263;1;Simplecard;1;Visa
265;2019-01-01 05:04:33;Germany;84;0;Simplecard;0;Master
266;2019-01-01 05:05:39;Austria;136;1;UK_Card;1;Master
267;2019-01-01 05:06:46;Switzerland;211;0;Goldcard;0;Master
268;2019-01-01 05:07:27;Switzerland;211;0;UK_Card;0;Master
269;2019-01-01 05:07:37;Switzerland;211;1;UK_Card;0;Master
270;2019-01-01 05:10:24;Austria;232;0;UK_Card;0;Visa
271;2019-01-01 05:10:27;Austria;232;1;Simplecard;0;Visa
272;2019-01-01 05:11:39;Germany;243;1;UK_Card;0;Master
273;2019-01-01 05:14:14;Germany;180;0;UK_Card;0;Visa
274;2019-01-01 05:14:28;Germany;180;0;UK_Card;0;Visa
275;2019-01-01 05:16:31;Austria;175;0;Moneycard;0;Visa
276;2019-01-01 05:17:05;Austria;175;0;UK_Card;0;Visa
277;2019-01-01 05:17:29;Austria;175;0;Moneycard;0;Visa
278;2019-01-01 05:18:00;Austria;175;1;UK_Card;0;Visa
279;2019-01-01 05:20:11;Austria;125;1;UK_Card;0;Visa
280;2019-01-01 05:23:13;Germany;247;0;Moneycard;1;Master
281;2019-01-01 05:24:09;Germany;247;0;Simplecard;1;Master
282;2019-01-01 05:24:58;Germany;247;0;UK_Card;1;Master
283;2019-01-01 05:25:39;Germany;247;1;UK_Card;1;Master
284;2019-01-01 05:29:46;Switzerland;246;0;Simplecard;0;Master
285;2019-01-01 05:32:43;Germany;117;0;Moneycard;0;Visa
286;2019-01-01 05:36:13;Germany;376;1;UK_Card;0;Master
287;2019-01-01 05:37:21;Germany;174;1;UK_Card;1;Master
288;2019-01-01 05:39:45;Germany;162;0;UK_Card;0;Diners
289;2019-01-01 05:40:39;Germany;162;0;UK_Card;0;Diners
290;2019-01-01 05:45:37;Switzerland;129;0;Simplecard;0;Diners
291;2019-01-01 05:46:54;Switzerland;215;0;Simplecard;0;Master
292;2019-01-01 05:49:14;Germany;355;0;UK_Card;0;Diners
293;2019-01-01 05:49:56;Germany;355;1;Simplecard;0;Diners
294;2019-01-01 05:52:45;Switzerland;135;0;UK_Card;0;Master
295;2019-01-01 05:53:17;Switzerland;135;0;UK_Card;0;Master
296;2019-01-01 05:54:07;Switzerland;135;0;Simplecard;0;Master
297;2019-01-01 05:54:11;Switzerland;135;0;UK_Card;0;Master
298;2019-01-01 05:54:12;Switzerland;135;0;UK_Card;0;Master
299;2019-01-01 05:55:44;Germany;188;0;UK_Card;0;Diners
300;2019-01-01 05:55:45;Germany;188;0;Moneycard;0;Diners
301;2019-01-01 05:56:16;Germany;188;0;UK_Card;0;Diners
302;2019-01-01 05:57:01;Germany;188;0;UK_Card;0;Diners
303;2019-01-01 05:57:42;Germany;188;1;Moneycard;0;Diners
304;2019-01-01 06:01:23;Switzerland;192;0;Moneycard;0;Visa
305;2019-01-01 06:02:51;Austria;180;0;Simplecard;0;Diners
306;2019-01-01 06:03:34;Austria;180;1;Goldcard;0;Diners
307;2019-01-01 06:05:19;Switzerland;38;1;Moneycard;0;Diners
308;2019-01-01 06:13:00;Germany;144;0;UK_Card;0;Master
309;2019-01-01 06:16:25;Germany;23;1;UK_Card;0;Master
310;2019-01-01 06:19:44;Austria;146;0;Simplecard;0;Master
311;2019-01-01 06:20:03;Austria;146;0;UK_Card;0;Master
312;2019-01-01 06:20:22;Austria;146;0;UK_Card;0;Master
313;2019-01-01 06:20:28;Austria;146;0;Goldcard;0;Master
314;2019-01-01 06:23:25;Germany;202;0;UK_Card;0;Diners
315;2019-01-01 06:27:31;Switzerland;211;0;UK_Card;0;Master
316;2019-01-01 06:28:01;Switzerland;211;0;UK_Card;0;Master
317;2019-01-01 06:28:51;Switzerland;211;0;Moneycard;0;Master
318;2019-01-01 06:29:18;Switzerland;211;0;Simplecard;0;Master
319;2019-01-01 06:29:33;Switzerland;211;1;Moneycard;0;Master
320;2019-01-01 06:31:50;Austria;212;1;UK_Card;0;Master
321;2019-01-01 06:33:34;Austria;273;0;UK_Card;1;Diners
322;2019-01-01 06:33:45;Austria;273;0;UK_Card;1;Diners
323;2019-01-01 06:33:48;Austria;273;0;Simplecard;1;Diners
324;2019-01-01 06:33:54;Austria;273;1;UK_Card;1;Diners
325;2019-01-01 06:36:55;Switzerland;230;1;UK_Card;0;Master
326;2019-01-01 06:38:36;Switzerland;141;0;UK_Card;0;Master
327;2019-01-01 06:39:01;Switzerland;141;0;UK_Card;0;Master
328;2019-01-01 06:41:22;Germany;135;0;Simplecard;0;Visa
329;2019-01-01 06:41:33;Germany;135;0;Moneycard;0;Visa
330;2019-01-01 06:42:12;Germany;135;0;UK_Card;0;Visa
331;2019-01-01 06:43:55;Switzerland;293;1;UK_Card;0;Visa
332;2019-01-01 06:45:47;Switzerland;190;0;UK_Card;0;Master
333;2019-01-01 06:46:11;Switzerland;190;0;Moneycard;0;Master
334;2019-01-01 06:46:42;Switzerland;190;0;UK_Card;0;Master
335;2019-01-01 06:47:26;Switzerland;190;0;UK_Card;0;Master
336;2019-01-01 06:48:20;Switzerland;190;1;UK_Card;0;Master
337;2019-01-01 06:50:22;Switzerland;336;0;UK_Card;0;Visa
338;2019-01-01 06:51:14;Switzerland;336;1;UK_Card;0;Visa
339;2019-01-01 06:52:20;Austria;163;0;UK_Card;1;Master
340;2019-01-01 06:53:08;Austria;163;1;UK_Card;1;Master
341;2019-01-01 06:54:51;Switzerland;350;1;Simplecard;0;Master
342;2019-01-01 06:56:52;Switzerland;374;0;UK_Card;0;Diners
343;2019-01-01 06:56:53;Switzerland;374;0;Simplecard;0;Diners
344;2019-01-01 06:58:23;Austria;176;0;Simplecard;0;Visa
345;2019-01-01 07:01:47;Germany;218;0;UK_Card;1;Master
346;2019-01-01 07:02:28;Germany;218;0;UK_Card;1;Master
347;2019-01-01 07:02:39;Germany;218;1;UK_Card;1;Master
348;2019-01-01 07:05:13;Germany;243;0;UK_Card;0;Master
349;2019-01-01 07:06:29;Austria;256;0;Moneycard;0;Visa
350;2019-01-01 07:07:34;Germany;225;0;Moneycard;0;Diners
351;2019-01-01 07:08:51;Germany;53;0;Moneycard;0;Visa
352;2019-01-01 07:09:44;Germany;53;1;UK_Card;0;Visa
353;2019-01-01 07:12:05;Germany;267;0;Simplecard;0;Master
354;2019-01-01 07:13:00;Germany;267;0;Simplecard;0;Master
355;2019-01-01 07:13:26;Germany;267;0;UK_Card;0;Master
356;2019-01-01 07:13:28;Germany;267;0;Simplecard;0;Master
357;2019-01-01 07:13:33;Germany;267;0;UK_Card;0;Master
358;2019-01-01 07:13:53;Germany;267;1;UK_Card;0;Master
359;2019-01-01 07:16:28;Austria;255;0;Simplecard;0;Visa
360;2019-01-01 07:17:53;Germany;216;0;UK_Card;0;Master
361;2019-01-01 07:18:11;Germany;216;0;Simplecard;0;Master
362;2019-01-01 07:18:22;Germany;216;0;UK_Card;0;Master
363;2019-01-01 07:19:57;Germany;125;1;UK_Card;0;Master
364;2019-01-01 07:21:15;Germany;263;0;UK_Card;1;Visa
365;2019-01-01 07:21:52;Germany;263;0;UK_Card;1;Visa
366;2019-01-01 07:22:10;Germany;263;0;UK_Card;1;Visa
367;2019-01-01 07:22:50;Germany;263;0;Simplecard;1;Visa
368;2019-01-01 07:23:20;Germany;263;0;Moneycard;1;Visa
369;2019-01-01 07:23:25;Germany;263;0;UK_Card;1;Visa
370;2019-01-01 07:23:52;Germany;263;0;Simplecard;1;Visa
371;2019-01-01 07:24:12;Germany;263;1;UK_Card;1;Visa
372;2019-01-01 07:26:03;Germany;450;0;Simplecard;0;Visa
373;2019-01-01 07:28:11;Germany;301;0;UK_Card;0;Diners
374;2019-01-01 07:28:27;Germany;301;0;UK_Card;0;Diners
375;2019-01-01 07:31:46;Austria;271;1;Goldcard;0;Diners
376;2019-01-01 07:32:49;Germany;183;0;Simplecard;0;Master
377;2019-01-01 07:34:54;Germany;198;0;Moneycard;0;Visa
378;2019-01-01 07:36:53;Germany;19;0;UK_Card;0;Visa
379;2019-01-01 07:37:07;Germany;19;0;UK_Card;0;Visa
380;2019-01-01 07:41:32;Germany;260;0;UK_Card;1;Visa
381;2019-01-01 07:41:38;Germany;260;0;Simplecard;1;Visa
382;2019-01-01 07:42:01;Germany;260;0;Moneycard;1;Visa
383;2019-01-01 07:47:48;Austria;175;1;Goldcard;0;Master
384;2019-01-01 07:49:11;Germany;214;0;UK_Card;0;Visa
385;2019-01-01 07:50:07;Germany;214;0;UK_Card;0;Visa
386;2019-01-01 07:50:39;Germany;214;0;UK_Card;0;Visa
387;2019-01-01 07:50:45;Germany;214;0;Simplecard;0;Visa
388;2019-01-01 07:50:52;Germany;214;0;UK_Card;0;Visa
389;2019-01-01 07:51:26;Germany;214;0;Simplecard;0;Visa
390;2019-01-01 07:51:40;Germany;214;0;UK_Card;0;Visa
391;2019-01-01 07:52:22;Germany;214;0;Simplecard;0;Visa
392;2019-01-01 07:53:02;Germany;214;0;Moneycard;0;Visa
393;2019-01-01 07:53:07;Germany;84;0;UK_Card;1;Visa
394;2019-01-01 07:53:53;Germany;256;0;UK_Card;0;Master
395;2019-01-01 07:54:31;Germany;147;0;UK_Card;0;Master
396;2019-01-01 07:55:11;Switzerland;368;0;Moneycard;1;Master
397;2019-01-01 07:55:51;Germany;249;0;Simplecard;0;Master
398;2019-01-01 07:56:24;Germany;222;0;UK_Card;1;Master
399;2019-01-01 07:57:03;Germany;72;0;Goldcard;0;Master
